condition,drugName,rating,sideEffects,review,sentiment
colorectal cance,xeloda,10,Mild Side Effects,good,0.333333333
colorectal cance,cetuximab,8,Moderate Side Effects,also diagnosed stage four colon cancer spread liver heavy cancer med month switched erbitux showed definite improvement dry scaly face using queen helene cocoa butter really pleased skin still dry,0
colorectal cance,erbitux,8,Mild Side Effects,also diagnosed stage four colon cancer spread liver heavy cancer med month switched erbitux showed definite improvement dry scaly face using queen helene cocoa butter really pleased skin still dry,0.333333333
colorectal cance,oxaliplatin,7,Mild Side Effects,stage colon cancer golf ball cancer micro invasion colon wall lymph node negative given fu oxaliplatin told entire time creatinine bilirubin good looking back yr later stage kidney disease one ever mentioned gfr one say anything make sure ask yet determine gfr low prior chemo decision would made oxaliplatin informed asked physician always told good neuropathy ok still cancer free praise god,0.333333333
colorectal cance,panitumumab,8,Mild Side Effects,medication carcinoembryonic antigen cea test number way hate rash least alive,0.333333333
colorectal cance,vectibix,1,Mild Side Effects,bad enough cancer drug work turn patient leper,0.333333333
colorectal cance,avastin,9,Mild Side Effects,avastin along chemo told tumour lung secondary breast cancer shrunk significantly may put back avastin hope keep shrinking,0.333333333
colorectal cance,bevacizumab,9,Mild Side Effects,avastin along chemo told tumour lung secondary breast cancer shrunk significantly may put back avastin hope keep shrinking,0.333333333
colorectal cance,camptosar,5,Extremely Severe Side Effects,effective given many combination,-0.125
colorectal cance,irinotecan,5,Moderate Side Effects,effective given many combination,0
colorectal cance,pembrolizumab,6,Mild Side Effects,worked well reducing size tumour first cycle started getting lot stomach problem vomiting lost kg weight hoping since stopping trial august effect would go away date oct however initially seem miracle drug tumour respnded well however tumour progressing clearly stopped responding,0.333333333
colorectal cance,regorafenib,10,Mild Side Effects,taken medication year carcinoembryonic antigen cea well within normal range slightly elevated bilirubin side effect mild moderate hand foot syndrome fatigue nosebleed due low platelet important note never done iv chemo result may different others,0.333333333
colorectal cance,stivarga,10,Severe Side Effects,taken medication year carcinoembryonic antigen cea well within normal range slightly elevated bilirubin side effect mild moderate hand foot syndrome fatigue nosebleed due low platelet important note never done iv chemo result may different others,0
computed tomography,barium sulfate,5,Mild Side Effects,barium swallow test difficulty swallowing contrast mixture thick chalky taste gagged twice due unpleasant taste thick consistency test successful,0.333333333
computed tomography,readi cat,9,Mild Side Effects,drank readi cat barium sulfate abdominal ct scan gave nine taste thick consistency vegetable oil citrus flavor experienced mild heartburn nausea drinking went away quickly following morning one bout diarrhea listed side effect experience listed possible side effect overall much better experience anticipating,0.333333333
computed tomography,smoothie readi cat,3,Moderate Side Effects,consumed berry smoothie readi cat directed prior ct scan leaving technician handed bottle water told sure drink enough liquid explain failed consume much water following exam busy around town errand slipped mind later found residual effect joint inflammation apparent right knee joint area particular suspect product potential contribute inflammation sure barium sulfate particular although ct scan year ago remember side effect could agent used flavor keep suspension,0
computed tomography,volumen,4,No Side Effects,took first dose kept bottle refrigerator instructed taste awful anticipated much took nearly minute finish felt bloated uncomfortable took second dose much difficulty getting finally tossed ounce drain really thought going throw given cup another half bottle volumen drink soon got clinic warm tasted worse waiting minute taken room ct enterography given second half bottle drink already urinate every minute got diarrhea day,0
condylomata acuminata,podofilox,9,Mild Side Effects,absolute wonder wart anal area first day improvement second gone moderate burning aching worth,0.333333333
condylomata acuminata,condylox,6,Extremely Severe Side Effects,rd cycle st cycle rd day came really tell completely gone due fact rd cycle nd day last dose notice lip vagina turn white became really painful really worried doctor said became way medication steroid,-0.125
condylomata acuminata,imiquimod,9,Mild Side Effects,basal cell recurred surgical removal another removal would resulted extensive plastic surgery aldara visible effect second week fifth week area looked horrible became concerned nevertheless continued application week eight looking mirror new fresh pink skin wonderful based upon experience think generally correct believe one basal cell area entire face damaged even though visible therefore would recommend using cream limited visible lesion otherwise area lesion large scary,0.333333333
condylomata acuminata,aldara,3,Severe Side Effects,awful burning terrible,0
condylomata acuminata,echinacea,10,Mild Side Effects,take capsule form mg whenever feel cold sinus symptom really work feel better within hr,0.333333333
conjunctivitis,gatifloxacin,4,Mild Side Effects,using zymar week conjunctivitis slight improvement everyday kept hoping redness go away used something else last year got result within day doctor resistant changing medication certainly indicated work week frustrated,0.333333333
conjunctivitis,sulfacetamide sodium,9,Mild Side Effects,slight sting cool sensation immediate relief almost like moisture drop dry eye,0.333333333
conjunctivitis,zymar,8,Mild Side Effects,zymar effective issue cost thankfully eye doctor gave two sample bottle carried though treatment pay prescription,0.333333333
conjunctivitis,loteprednol,10,Mild Side Effects,going conjunctivitis due allergic reaction dust work tried another eye drop day week later used eye cream week neither product worked another week later conjunctivitis came back started using drop using month follow visit gradual reduction drop used eye feeling great also using essential oil based cleaner thief young living essential oil clean work space daily also using antibacterial antifungal essential oil hand daily combination thing greatly improved eye health,0.333333333
conjunctivitis,alrex,1,Extremely Severe Side Effects,benzalkonium worst preservative ever use use allrex company better asset improve product,-0.125
conjunctivitis,dexamethasone,8,No Side Effects,longer acting steroid option gained weight anxiety,0
conjunctivitis,lotemax,1,Mild Side Effects,nightmare normally adverse reaction prescription severe eye pain using drop taken er bascom palmer eye hospital miami took multiple medical personnel long time even pry eye open literally screaming pain ever experienced kidney stone imagine continuous sharp pain eye thought would never see side effect map dot corneal dystrophy corneal erosion episode drop unbelievable please use drop alternative available ask doctor recommend something else problem tobradex also steroid drop,0.333333333
conjunctivitis  allergic,alcaftadine,7,Mild Side Effects,combination dry eye allergy started drop jan already felt relief scratchy feeling eye especially right one doc said notice immediate difference feel much better appalled price drop hence rating,0.333333333
conjunctivitis  allergic,lastacaft,10,Mild Side Effects,applied bathing bedtime relief eye itching achieved totally minute bothersome tearing gone morning lasted hour heavy pollen count day covered insurance spend buy anyway,0.333333333
conjunctivitis  allergic,bepotastine,1,Extremely Severe Side Effects,severe allergic reaction itching swelling mouth trouble breathing never allergic reaction kind never scared year life,-0.125
conjunctivitis  allergic,bepreve,3,Mild Side Effects,drop effective itchy red eye,0.333333333
conjunctivitis  allergic,ketotifen,9,Mild Side Effects,lightheaded dizzy turning turning quickly bending,0.333333333
conjunctivitis  allergic,azelastine,8,Extremely Severe Side Effects,drug help nasal symptom make drowsy might medication take daily basis cymbalta stahist helped symptom use along flonase get headache stuffiness happy continue using hopefully drowsiness effect get better time used use asteline,-0.125
conjunctivitis  allergic,elestat,8,Mild Side Effects,also used otc drop year longer effective given daily use living deep south bottle eye drop spring summer,0.333333333
conjunctivitis  allergic,epinastine,10,Mild Side Effects,effective used counter allergy eye drop year elestat took care condition application,0.333333333
conjunctivitis  allergic,zaditor,9,Moderate Side Effects,helpful mostly allergic tree pollen oak birch sting bit cause lot tear application go away within minute took day become really effective started peak allergy season feel like new person,0
conjunctivitis  allergic,alamast,1,Extremely Severe Side Effects,allergy really bad doctor prescribed alamast get result whatsoever medicine side effect relief drug either expensive around per bottle used bottle however someone else might better experience,-0.125
conjunctivitis  allergic,pemirolast,1,Extremely Severe Side Effects,allergy really bad doctor prescribed alamast get result whatsoever medicine side effect relief drug either expensive around per bottle used bottle however someone else might better experience,-0.125
conjunctivitis  allergic,alocril,10,Severe Side Effects,using wanted claw eye alocril miracle immediate lasting effect,0
conjunctivitis  allergic,nedocromil,10,Moderate Side Effects,using wanted claw eye alocril miracle immediate lasting effect,0
conjunctivitis  allergic,optivar,10,Moderate Side Effects,given year old mother clear troublesome allergic reaction effective gave relief within hour,0
conjunctivitis  allergic,prednisone,1,No Side Effects,given mg low cortisol took first day ok nd day absolute rage day plus agitated literally ready go mental home carried week last day woke headache like head splitting open saturday set hospital thought know get rage headache side effect prednisone time take dose steroid bone spur another joint,0
conjunctivitis  allergic,sterapred,9,Extremely Severe Side Effects,good,-0.125
conjunctivitis  bacterial,moxifloxacin,9,Mild Side Effects,get bit dizzy would take bedtime first get faster heart beat may cause read crazy side effect online medicine work awful case tonsillitis sure read package med even vitamin may taking alter effect increase chance side effect,0.333333333
conjunctivitis  bacterial,vigamox,3,No Side Effects,day far improvement,0
conjunctivitis  bacterial,polymyxin b   trimethoprim,1,Mild Side Effects,diagnosed day ago started using drop still gotten relief naturally weekend monday contact doctor intense headache using eye minute make everything worse redness itching pain crusting graininess throbbing eye warm washcloth best relief far,0.333333333
conjunctivitis  bacterial,dexamethasone   tobramycin,8,Mild Side Effects,medication good job clearing right ear day keep mind also perforation ear drum well although even developed infection anyhow recently diagnosed right middle ear infection last week prescribed along augmentin mg however taking mg glutathione antioxidant supplement along medication considering fact medication carry ototoxic risk,0.333333333
conjunctivitis  bacterial,tobradex,10,Mild Side Effects,tobradex trick first day improvement better day forward th day infection swelling gone drop lasted day slighly blurry vision entire period could result digging eyeball prior filling prescription would use problem,0.333333333
conjunctivitis  bacterial,tobramycin,8,No Side Effects,definitely helped eye one almost swollen shut eye lid swollen bad eye bloodshot extreme watering painful one day eye better,0
conjunctivitis  bacterial,azithromycin,1,Mild Side Effects,horrible took first day one onward four day painful stomach hurt chest pain kept night pain please read side effect taking,0.333333333
conjunctivitis  bacterial,loteprednol   tobramycin,10,Mild Side Effects,medicine work within min hour condition allergic skin oil get eye almost like pink eye light sensitivity excessive tearing pain love medicine used probably seriously different eye drop pill otc prescription super happy one,0.333333333
conjunctivitis  bacterial,zylet,8,Extremely Severe Side Effects,bacterial infection sleeping contact lens allergy mixed woke sunday morning eye red end day swollen running mucus coming yuck went eye doctor monday gave zylet drop working fine take drop every hour swelling gone dark ring around eye swelling redness leaving side effect headache started nd day heart rate sped little go tomorrow checkup hope review help,-0.125
conjunctivitis  bacterial,azasite,1,Mild Side Effects,unable use side effect day beginning experienced fast heart rate stopped using two week resumed use one eye became painful used drop day cost much,0.333333333
conjunctivitis  bacterial,dexamethasone   neomycin   polymyxin b,10,No Side Effects,eye stayed dry red irritated day eye begin clear used twice daily drop time downside stinging burning first second putting drop,0
conjunctivitis  bacterial,besifloxacin,10,No Side Effects,conjunctivitis day unable get clear within span hour using besivance infection started clearing within day swelling redness itchy discharge gone,0
conjunctivitis  bacterial,besivance,10,Mild Side Effects,conjunctivitis day unable get clear within span hour using besivance infection started clearing within day swelling redness itchy discharge gone,0.333333333
conjunctivitis  bacterial,moxeza,10,No Side Effects,medication worked well burn application,0
conjunctivitis  bacterial,neo poly dex,10,Mild Side Effects,eye stayed dry red irritated day eye begin clear used twice daily drop time downside stinging burning first second putting drop,0.333333333
conjunctivitis  bacterial,bacitracin   neomycin   polymyxin b,10,Mild Side Effects,use cut scrape whole family significantly contributes healing side effect apply couple time day day,0.333333333
conjunctivitis  bacterial,bacitracin   polymyxin b,10,Mild Side Effects,best thing market need choose oil based one work miracle,0.333333333
conjunctivitis  bacterial,blephamide,10,Severe Side Effects,wonder drug live outdoors lot sweat lot get bacterial conjunctivitis every month apply couple drop feel eye first getting itchy stuff make go away overnight couple morning good go next month however eye get red realize conjunctivitis might take multiple application make go away matter couple day good stuff high priced much unaffordable,0
conjunctivitis  bacterial,ciprofloxacin,1,Moderate Side Effects,good experience severe head pain throat discomfort,0
conjunctivitis  bacterial,erythromycin,10,Moderate Side Effects,good treatment acne using product year work,0
conjunctivitis  bacterial,gramicidin   neomycin   polymyxin b,1,Severe Side Effects,prescribed pink eye sure bad reaction absolutely nothing using entire week every time put drop eye would water burn badly medicine would washed flushed eye via tear despite keeping eye closed eye doctor switched something else new drop worked wonderfully fan drug though,0
conjunctivitis  bacterial,hydrocortisone   neomycin   polymyxin b,7,Moderate Side Effects,say eye rx middle ear infection cured ailment matter two day rx drop ear three time day took week get dr pain feverish etc rx pain left within hour really believe two dos cured sorry never take med ever day feel well yr old rarely need antibiotic nothing come back early stopping grown child done way seem remain healthy side go year without need antibiotic recall teen mom made finish antibiotic created fungal infection truly necessary think creates superbug,0
conjunctivitis  bacterial,levofloxacin,1,Mild Side Effects,expensive vomited day even keep water,0.333333333
conjunctivitis  bacterial,maxitrol,10,No Side Effects,used onset eye infection bacterial conjunctivitis immediately gone work every time effective drug,0
conjunctivitis  bacterial,polytrim,9,Moderate Side Effects,eye drop helped itching swelling discharge within hour redness eye persisted longer,0
conjunctivitis  bacterial,prednisolone   sulfacetamide sodium,10,No Side Effects,wonder drug live outdoors lot sweat lot get bacterial conjunctivitis every month apply couple drop feel eye first getting itchy stuff make go away overnight couple morning good go next month however eye get red realize conjunctivitis might take multiple application make go away matter couple day good stuff high priced much unaffordable,0
conjunctivitis  bacterial,tobrex,10,Moderate Side Effects,used son conjunctivitis one day redness swelling went good eye drop would definitely recommended,0
constipation,bisacodyl,1,Mild Side Effects,almost took last night ish prep colonoscopy never ever diarhea morning diarheaa lot blood non stop worst pain ever felt like going pas never female,0.333333333
constipation,dulcolax,8,Extremely Severe Side Effects,yes work wake stomach pain feel nauseous taken time time happened,-0.125
constipation,magnesium citrate,10,Extremely Severe Side Effects,constipation time due pain medication take daily every couple week wake sunday morning bottle magnesium citrate within hour everything bowel liquefied problem solved suggest leaving home hour though toilet become friendly,-0.125
constipation,polyethylene glycol,1,Mild Side Effects,family history colon cancer bout colon cancer getting colonoscopy every year past april told use miralax first time prep sufficient proceed procedure even though followed instruction exactly,0.333333333
constipation,magnesium hydroxide,7,Mild Side Effects,applied topically like mask milk magnesia treated acne year heavy stuff working,0.333333333
constipation,phillips  milk of magnesia,8,No Side Effects,tried milk magnesia face long ago suffer acne oily skin helped dry oily skin left skin feeling smooth use mask week,0
constipation,miralax,1,No Side Effects,another gi doctor suggest miralax colonoscopy prep mistake doctor test could see anything come back another time real prep,0
constipation,senna,6,Mild Side Effects,drank oz popular senna tea two consecutive day drinking clear liquid preceded two day full liquid caused diarrhea cleaned tongue big raw red patch two day later tongue beginning heal idea,0.333333333
constipation,linaclotide,4,Extremely Severe Side Effects,suffered year constipation taking amitiza suffered hair loss dr suggested linz took day kick control least hour quickly began gaining weight stopped med couple month dropped lb well decided try linz see weight gain caused something else linz lb day would rather drink mineral oil drink miralax instead using drug pricey,-0.125
constipation,linzess,5,Extremely Severe Side Effects,experience week old see user diarrhea initial two week taking linz want reply bronx boy fear help magnesium deeply understand fear nothing worse constipation linz took product called calm fizzy drink magnesium citrate work problem woke night work fast found initial day taking linz still take calm morning miserable incomplete feeling calm work within hour empty stomach rated point pending experience,-0.125
constipation,sodium biphosphate   sodium phosphate,10,Mild Side Effects,osmoprep easy use could even swallow one glass gallon prep yet swallowing pill choice liquid taste good difference colonoscopy taking chance colonoscopy yesterday went great recommend everyone,0.333333333
constipation,dulcolax laxative,1,Mild Side Effects,day pill night clean good cost burning pain hour cramping later wish never took worth another option far worst pain ever felt,0.333333333
constipation,senokot,3,Moderate Side Effects,take tablet job one small little powerful dulcolax tab far le pain,0
constipation,correctol,9,No Side Effects,little stomach cramping nausea laxative taken satisfied though really cleaned exactly wanted thank,0
constipation,fleet enema,9,Mild Side Effects,used product first time preparation hemorrhoid removal surgery morning kicked within minute seems cleared thing get morning oh joy,0.333333333
constipation,docusate,9,Moderate Side Effects,medication take cause constipation issue placed docusate help ease find mg day help immensely sometimes trying gross get really plugged taking extra docusate total mg work like charm awesome medication someone struggle mild moderate daily constipation,0
constipation,milk of magnesia,7,Mild Side Effects,applied topically like mask milk magnesia treated acne year heavy stuff working,0.333333333
constipation,magnesium oxide,10,Mild Side Effects,came upon website looking different us magnesium oxide mo initial reason taking mo nerve pain found interesting people issue used constipation heartburn even nausea decided one day dose least twice per day wow difference quite fantastic must say skeptic nature mo inexpensive way deal common side effect pain medicine etc without hesitation recommend medication anyone stomach problem especially female suffering like endometriosis interstitial cystitis celiac auto immune disease,0.333333333
constipation,metamucil,10,Extremely Severe Side Effects,metamucil work wonder month pregnant suffered horrible constipation given metamucil sachet midwife noticed day much better feel relief,-0.125
constipation,psyllium,10,Mild Side Effects,son suffered major constipation almost year year old every doctor told u use prune apple juice dairy etc tried metamucil worked wonder poop everyday strain much really good give half teaspoon water day even drink,0.333333333
constipation,glycerin,10,Mild Side Effects,baby month old bowl movement week pebble come screaming much pain used medicine pharmacist told run water use half still used little le worked really good pooping hour really helped soften get great product sister told vary happy found helped baby girl,0.333333333
constipation,amitiza,1,Mild Side Effects,chronic constipation nothing helped including amitiza,0.333333333
constipation,lubiprostone,2,Mild Side Effects,medicine helped constipation gave pretty major emotional issue moody depressed also made pretty tired able sleep think gave ache joint well would say stay far away worth rather take regular laxative least make want kill,0.333333333
constipation,clearlax,10,Mild Side Effects,use bathroom like supposed last month taken fleet laxative work felt bloated never stopped eating finally take went doctor prescribed something take medicine prescribed covered insurance went walmart saw clearlax almost ingredient bought apple juice mixed together hour later really used bathroom feel great work good stuff serious,0.333333333
constipation,citrate of magnesia,10,Mild Side Effects,highly recommend product constipated several week doctor recommended day colonoscopy addition prescription prep chose grape flavored cv brand refrigerated night took pm next evening sour carbonated doable family member suggested eat time cut nausea really helped first felt like stomach going explode drank oz bottle followed oz water lot stomach bubbling finally comfortable enough lie eventually fell sleep awakened urge pas gas find toilet fast work,0.333333333
constipation,methylcellulose,4,Moderate Side Effects,lot bloating gas bad stomach distention stopped starting feel better,0
constipation,colace,10,Mild Side Effects,due many heart medication medication take careful anything otc colace gentle ever cause cramping discomfort literally job nicely recommend something often take without nervous afraid,0.333333333
constipation,fleet glycerin suppositories adult,10,Moderate Side Effects,stress travel compounded family emergency stopped bowel day tried favored laxative experience nothing helped least within minute suppository began result immediately inserted second suppository within minute greater result relief internet helped understand use properly effective,0
constipation,fleet phospho soda,10,Mild Side Effects,strong gentle box say wait min hour found personal experience take unless plan staying home always took hour work took ran errand expecting home minute plenty time course since time ever took left home started working minute box said feel gurgling feeling intestine better get bathroom fortunately close home barely made home since inside turned water start working watery movement hour well cramping taste better diluted lot cold water drink fast,0.333333333
constipation,senna lax,1,Mild Side Effects,worst stomach pain ever felt also nauseous stomach pain relieved using restroom stomach disorder know stomach pain well would never use,0.333333333
constipation,doxidan tablet,10,Extremely Severe Side Effects,take pill take one,-0.125
constipation,dulcolax stool softener,5,Mild Side Effects,still hard consecutive daily dos,0.333333333
constipation,enemeez mini,9,Moderate Side Effects,problem experienced size tube wife bad auto accident pelvis busted among many major injury confined wheelchair administer enema small size make bit difficult use work great,0
constipation,ex lax maximum relief formula,2,Mild Side Effects,took exlax yesterday morning hour later screaming pain puked puked pain belly never use hour still bowl movement horrible pain,0.333333333
constipation,ex lax regular strength pills,5,Mild Side Effects,every time take one cause much pain feel like going double effective painful,0.333333333
constipation,feen a mint,10,Severe Side Effects,laxative tried chronic constipation feen mint answer found gum argentina took first day following day took take every day every two day need helped lot pain discomfort work great looking gum pharmacy without luck,0
constipation,fibercon,9,Moderate Side Effects,taken combination stool softener long term daily use,0
constipation,fleet bisacodyl,1,Mild Side Effects,horrendous experience felt like poisoned cramping pain headache nausea never tried magnesium citrate time around much pleasant pain grumbling tum cleared,0.333333333
constipation,fletchers castoria,10,Moderate Side Effects,getting hospital following heart attack constipated nothing tried would help bowel movement tried everything others suggested even ate prune dried boiled finally found bottle child castoria medicine closet kept child took castoria relieved bowel movement within hour thank castoria side effect regular ever since,0
constipation,lactobacillus acidophilus,9,Mild Side Effects,work great,0.333333333
constipation,peg,8,No Side Effects,worked fine use toilet paper use ultra soft cleansing wipe also baby powder towards end good even zinc oxide diaper rash,0
constipation,polycarbophil,9,Moderate Side Effects,taken combination stool softener long term daily use,0
constipation,senexon,6,Mild Side Effects,use day able poop rd day stomach cramping bad go bathroom use enema get relief poop large come later day problem pooping twice th day stomach cramped bad poop pain worth especially since med pooped med pain worth taking anymore th day stomach cramp day pain terrible drink eat anything cause pain stomach take pill anymore need feel better cramping day never problem constipation doctor recommended med taking,0.333333333
constipation,sorbitol,9,Mild Side Effects,vomitting stomamps cramp going toilet every minute,0.333333333
constipation  acute,lactulose,1,Mild Side Effects,bottle almost impossible open know effective suggest get pharmacist open leave store,0.333333333
constipation  acute,docusate   senna,10,Mild Side Effects,badly constipated day stomach back aching matter much water fibrous food ate able go wit end bought senokot took one pill pm another could feel working strange feeling stomach get bad cramp pain finally able go straining pain,0.333333333
constipation  acute,polyethylene glycol,1,Mild Side Effects,family history colon cancer bout colon cancer getting colonoscopy every year past april told use miralax first time prep sufficient proceed procedure even though followed instruction exactly,0.333333333
constipation  acute,miralax,1,No Side Effects,another gi doctor suggest miralax colonoscopy prep mistake doctor test could see anything come back another time real prep,0
constipation  acute,senokot s,10,Mild Side Effects,badly constipated day stomach back aching matter much water fibrous food ate able go wit end bought senokot took one pill pm another could feel working strange feeling stomach get bad cramp pain finally able go straining pain,0.333333333
constipation  acute,senna plus,9,Mild Side Effects,excellent medicine little side effect use highly recommend,0.333333333
constipation  acute,clearlax,10,Mild Side Effects,use bathroom like supposed last month taken fleet laxative work felt bloated never stopped eating finally take went doctor prescribed something take medicine prescribed covered insurance went walmart saw clearlax almost ingredient bought apple juice mixed together hour later really used bathroom feel great work good stuff serious,0.333333333
constipation  acute,doc q lax,8,Severe Side Effects,year old woman bloating lot pooping alls good,0
constipation  acute,doculax,2,Mild Side Effects,never take product yes relieve constipation bad side effect worth sick day read label expect worst,0.333333333
constipation  acute,peri colace,10,Mild Side Effects,work great take follow hot cup coffee,0.333333333
constipation  acute,senna s,6,Mild Side Effects,took hour produce desired effect effective gentle,0.333333333
constipation  chronic,linaclotide,4,Extremely Severe Side Effects,suffered year constipation taking amitiza suffered hair loss dr suggested linz took day kick control least hour quickly began gaining weight stopped med couple month dropped lb well decided try linz see weight gain caused something else linz lb day would rather drink mineral oil drink miralax instead using drug pricey,-0.125
constipation  chronic,linzess,5,Extremely Severe Side Effects,experience week old see user diarrhea initial two week taking linz want reply bronx boy fear help magnesium deeply understand fear nothing worse constipation linz took product called calm fizzy drink magnesium citrate work problem woke night work fast found initial day taking linz still take calm morning miserable incomplete feeling calm work within hour empty stomach rated point pending experience,-0.125
constipation  chronic,lubiprostone,2,Mild Side Effects,medicine helped constipation gave pretty major emotional issue moody depressed also made pretty tired able sleep think gave ache joint well would say stay far away worth rather take regular laxative least make want kill,0.333333333
constipation  chronic,amitiza,1,Mild Side Effects,chronic constipation nothing helped including amitiza,0.333333333
constipation  chronic,lactulose,1,Mild Side Effects,bottle almost impossible open know effective suggest get pharmacist open leave store,0.333333333
constipation  chronic,polyethylene glycol      with electrolytes,9,Extremely Severe Side Effects,believe negative comment previous colonoscopy vile mixture take moviprep breeze taste bad easy get started working hour cramp think follow direction eat day leading procedure many problem,-0.125
constipation  chronic,tegaserod,10,Extremely Severe Side Effects,wish pulled drug market medicine actually worked worked well side effect since tried amitiza constipation made nauseous sick discontinue use miserable without zelnorm,-0.125
constipation  chronic,zelnorm,10,Mild Side Effects,best help ever bring back,0.333333333
constipation  chronic,golytely,1,Extremely Severe Side Effects,effective horrible terrible taste much drink highly recommend suprep instead taste bad ounce night ounce next morning,-0.125
constipation  chronic,movantik,1,Moderate Side Effects,doctor insisting start taking spite nooo problem whatsoever taking oic year movantix huge risk side effect take dose miralax one stool softener ducosate calcium ducosate sodium problem solved year eat lot bread take extra ducosate calcium pill side effect whatsoever every time see tv commercial prescription laxative cringe take med side effect worry new doctor adamant try movantik need switch work,0
constipation  chronic,moviprep,9,Extremely Severe Side Effects,far taste ok drank warm bad little salty took whole bottle finally able go wait see start next bottle pm,-0.125
constipation  chronic,naloxegol,1,Mild Side Effects,doctor insisting start taking spite nooo problem whatsoever taking oic year movantix huge risk side effect take dose miralax one stool softener ducosate calcium ducosate sodium problem solved year eat lot bread take extra ducosate calcium pill side effect whatsoever every time see tv commercial prescription laxative cringe take med side effect worry new doctor adamant try movantik need switch work,0.333333333
constipation  chronic,methylnaltrexone,1,Mild Side Effects,nothing yet helping rd day took shot still worked th shot today going back doc morning hurt feel tight bloated feel could rupture time god constipation feel like death full dont feel eat drink,0.333333333
constipation  chronic,relistor,1,Extremely Severe Side Effects,nothing yet helping rd day took shot still worked th shot today going back doc morning hurt feel tight bloated feel could rupture time god constipation feel like death full dont feel eat drink,-0.125
constipation  chronic,constulose,10,Severe Side Effects,best medicine ever used constipation also irritable bowel syndrome,0
constipation  chronic,gavilyte g,9,Mild Side Effects,know fuss taste smell even use lemon flavor packet came contains saccharin hate taste refrigerate drank room temperature flavoring use straw bad tasted like funny tasting water little salty drank straw really fast butterscotch hard candy glassful reason drink cold go easier room temperature,0.333333333
constipation  chronic,gavilyte n,1,Mild Side Effects,experienced pound weight two day fasting taking prep contains much sodium today one day colonoscopy stomach still distended hard severely constipated,0.333333333
constipation  chronic,generlac,10,No Side Effects,thing actually work,0
constipation  drug induced,naloxegol,1,Mild Side Effects,doctor insisting start taking spite nooo problem whatsoever taking oic year movantix huge risk side effect take dose miralax one stool softener ducosate calcium ducosate sodium problem solved year eat lot bread take extra ducosate calcium pill side effect whatsoever every time see tv commercial prescription laxative cringe take med side effect worry new doctor adamant try movantik need switch work,0.333333333
constipation  drug induced,movantik,1,Moderate Side Effects,doctor insisting start taking spite nooo problem whatsoever taking oic year movantix huge risk side effect take dose miralax one stool softener ducosate calcium ducosate sodium problem solved year eat lot bread take extra ducosate calcium pill side effect whatsoever every time see tv commercial prescription laxative cringe take med side effect worry new doctor adamant try movantik need switch work,0
constipation  drug induced,methylnaltrexone,1,Mild Side Effects,nothing yet helping rd day took shot still worked th shot today going back doc morning hurt feel tight bloated feel could rupture time god constipation feel like death full dont feel eat drink,0.333333333
constipation  drug induced,relistor,1,Extremely Severe Side Effects,nothing yet helping rd day took shot still worked th shot today going back doc morning hurt feel tight bloated feel could rupture time god constipation feel like death full dont feel eat drink,-0.125
constipation  drug induced,amitiza,1,Mild Side Effects,chronic constipation nothing helped including amitiza,0.333333333
constipation  drug induced,lubiprostone,2,Mild Side Effects,medicine helped constipation gave pretty major emotional issue moody depressed also made pretty tired able sleep think gave ache joint well would say stay far away worth rather take regular laxative least make want kill,0.333333333
copd,roflumilast,10,Extremely Severe Side Effects,severe copd cannot walk around coughing lunger daily last year maybe time life saver,-0.125
copd,daliresp,9,Extremely Severe Side Effects,daliresp one month problem seems help feel difference shortness breath far good,-0.125
copd,symbicort,8,Mild Side Effects,able breathe finally always breath day started taking symbicort could breathe would able clean play kid go walk excercise however stopped taking side effect horrible angry edge worst constant headache ever fair family waiting find alternative,0.333333333
copd,umeclidinium   vilanterol,3,Extremely Severe Side Effects,medication seemed work well beginning trial long realized heart beating irregularly tremor became apparent right arm hand exacerbation symptom e g shortness breath minimal exertion longer duration recover noted,-0.125
copd,anoro ellipta,10,Mild Side Effects,believe drug truly miracle could even walk without gasping breath given hope quality life would ever normal thankful anoro helped live,0.333333333
copd,breo ellipta,10,Mild Side Effects,asthma year almost died time air lifted large hospital time inhaler far best inhaler ever taken incredible,0.333333333
copd,fluticasone   vilanterol,10,Extremely Severe Side Effects,asthma year almost died time air lifted large hospital time inhaler far best inhaler ever taken incredible,-0.125
copd,olodaterol   tiotropium,10,Mild Side Effects,breathing good forget copd medicine amazing easy use go day fear breathing problem first time year,0.333333333
copd,stiolto respimat,9,Mild Side Effects,diagnosed early emphysema th october week ago never used bronchodilator previously find product easy use longer wheeze lying believe breathing easier,0.333333333
copd,aclidinium,10,Extremely Severe Side Effects,helped husband much lot,-0.125
copd,tudorza pressair,9,Mild Side Effects,recently completed year long clinical trial forest lab went back using prior medication advair since noticed definite difference breathing coughing wheezing returning tudorza immediately,0.333333333
copd,prednisone,1,No Side Effects,given mg low cortisol took first day ok nd day absolute rage day plus agitated literally ready go mental home carried week last day woke headache like head splitting open saturday set hospital thought know get rage headache side effect prednisone time take dose steroid bone spur another joint,0
copd,incruse ellipta,2,Mild Side Effects,began using incruse ellipta medicare advantage plan discontinued coverage spiriva used successfully couple year biggest problem encountered horrid bitter taste incruse first thought perhaps received outdated inhaler first refill awful taste developed thrush treated six week incruse ellipta immunologist applied granted exception return using spiriva,0.333333333
